card_id,disp_id,type,issued
3,41,gold,950903
5,51,junior,950424
10,77,classic,961207
12,83,junior,960911
13,87,classic,940629
14,112,classic,960217
15,114,classic,950305
17,127,classic,980607
18,128,classic,950825
24,153,junior,960805
37,238,classic,960420
38,242,classic,960831
40,255,classic,961013
44,268,junior,960517
45,272,classic,971205
53,333,classic,981013
57,347,classic,961109
70,439,classic,940208
84,487,classic,960626
85,489,classic,951231
87,493,classic,961102
88,496,classic,961104
92,508,classic,951120
97,531,junior,950919
98,537,classic,950906
99,548,gold,961009
103,584,junior,960817
104,588,classic,940119
106,592,classic,960114
107,593,classic,950627
113,629,junior,951116
117,649,junior,961123
118,652,classic,951022
119,655,classic,960808
121,666,junior,960722
127,714,classic,960523
136,778,classic,950728
140,798,classic,970822
150,859,classic,960330
152,876,classic,960916
157,907,classic,960424
162,967,junior,961223
163,984,classic,960918
166,999,classic,950305
167,1011,classic,950915
168,1018,classic,950124
174,1039,junior,941204
181,1066,classic,940819
183,1080,classic,960508
188,1146,classic,940619
197,1202,junior,961021
202,1228,classic,960204
204,1239,junior,960530
208,1246,gold,950208
216,1310,junior,960424
220,1333,classic,961013
223,1353,classic,950418
227,1380,classic,960810
229,1384,classic,960405
243,1478,classic,961213
261,1629,gold,951109
262,1647,junior,950824
265,1680,classic,960628
267,1691,junior,960309
272,1754,junior,961028
278,1779,classic,960815
280,1793,classic,970622
286,1812,gold,960421
289,1831,junior,960408
294,1861,classic,961204
296,1876,gold,951113
300,1890,classic,961120
302,1900,classic,960331
303,1912,classic,960801
309,1946,classic,940919
312,1971,classic,960608
313,1980,classic,960617
314,1999,junior,950127
320,2045,classic,960711
337,2141,classic,960101
342,2157,classic,950927
355,2267,classic,970828
363,2324,junior,961211
364,2329,classic,960229
369,2363,classic,941108
372,2395,classic,960331
374,2423,classic,961108
376,2428,classic,941110
377,2429,classic,940303
379,2431,classic,960112
381,2440,classic,961027
384,2475,junior,940915
390,2490,classic,961014
393,2498,junior,951203
397,2513,classic,950624
407,2555,classic,960711
408,2560,classic,961210
423,2657,classic,960219
427,2688,gold,960125
433,2724,classic,961212
434,2739,classic,971230
436,2759,classic,971009
441,2785,classic,961105
464,2984,classic,950221
467,3019,classic,950605
468,3023,classic,950130
470,3036,classic,960902
477,3082,junior,950116
478,3084,classic,941009
483,3115,classic,941124
484,3116,classic,950704
497,3184,classic,950303
499,3187,classic,960403
501,3197,classic,950709
503,3225,classic,950308
504,3230,junior,951106
511,3257,junior,970806
514,3267,classic,960910
516,3279,classic,961025
517,3291,classic,980109
528,3356,classic,961031
541,3427,junior,961126
545,3458,classic,950530
547,3477,classic,961011
559,3573,classic,950617
562,3583,classic,961107
563,3589,classic,941021
565,3601,gold,970106
577,3687,classic,940215
592,3782,junior,950807
594,3794,junior,961227
601,3830,classic,961008
606,3883,classic,960122
609,3893,classic,961229
621,3970,junior,960319
623,3984,classic,980725
641,4116,classic,960618
642,4137,classic,961213
651,4201,junior,960802
652,4211,classic,950616
658,4251,classic,941225
661,4270,classic,950703
662,4293,classic,950509
666,4328,junior,951225
670,4343,classic,960808
673,4353,junior,960831
690,4479,classic,961107
695,4507,classic,951215
697,4518,classic,961211
699,4532,classic,950926
705,4555,classic,950712
708,4568,junior,960924
710,4588,junior,961210
713,4627,classic,950930
719,4663,classic,950624
721,4680,junior,940405
722,4684,classic,961114
725,4715,junior,960330
731,4751,classic,960623
732,4763,classic,940721
736,4789,classic,960803
737,4791,classic,950413
741,4832,classic,960911
747,4915,classic,940205
759,5117,junior,950418
763,5138,junior,941230
764,5159,classic,960529
766,5200,classic,950211
771,5233,classic,960108
772,5243,classic,961030
776,5263,classic,961019
778,5275,classic,950102
779,5323,junior,950521
783,5433,junior,951024
786,5478,classic,961231
813,5873,junior,961028
847,6610,classic,970520
891,7434,classic,971223
923,7855,classic,980924
945,8342,junior,960509
965,8636,classic,980402
977,8968,classic,960508
989,9119,classic,960221
1005,9285,classic,931107
1014,9452,classic,961102
1039,9837,classic,950107
1115,11375,junior,971003
1118,11393,classic,970102
1134,11742,classic,960531
1138,11825,classic,970629
1164,12269,classic,960812
1173,12442,classic,970508
1176,12502,gold,960703
1178,12542,classic,970619
1187,12635,gold,960717
1194,12781,junior,980430
1225,13268,classic,951122
1247,13660,classic,950613
